occuranec_date,injury_caused,Location,Humidity,precipitation,temperature,winds
5/6/12,laceration to left foot,table beach,92,1.2,59,9
5/11/12,puncture wounds to tigh,folly beach,81,1.3,58,8
5/12/12,laceration and puncture wounds,new smyrna,80,1.3,60,8
5/15/12,calf bitten,Masonboro island,90,1.5,62,8
5/10/12,no attcak,jacksonville beach,82,1,65,12
6/1/12,laceration to leg,atlantic beavch,87,0.7,67,10
7/12/12,laceration to hand,fort lauderdals,94,0.4,68,11
7/12/12,puncture wounds to leg,indialantic,96,1.1,68,12
7/21/12,laceration to knee,sunset beach,95,1.3,68,7
7/27/12,left foot bitten,coligny beach,95,1.3,70,7
7/3/12,righ hand bitten,tybee island,91,0.9,64,8
7/9/12,laceration to foot,table beach,85,1,66,10
8/2/12,foot bitten,fort lauderdals,89,1.2,69,9
8/2/12,laceration to ankle,fort lauderdals,85,0.8,63,9
8/5/12,laceration to foot,okaloosa island,81,1.4,61,12
8/6/12,laceration to right leg,surfside beach,93,1.1,62,12
8/9/12,puncture wounds to foot,ponce inlet,94,1,68,11
8/10/12,puncture wounds and laceration,atlantic beavch,88,1.5,70,10
8/12/12,puncture wounds and laceration,atlantic beavch,79,0.6,66,12
8/24/12,laceration to left foot,bethel shoals,83,1.9,61,8
8/27/12,heel bitten,apalanchicola beach,94,0.4,63,12
8/27/12,laceration to left hand,jacksonville beach,90,0.7,69,9
8/28/12,laceration to foot by hooked shark,ponce inlet,81,1.7,70,10
8/29/12,laceration to shin,Masonboro island,87,1.2,62,7
8/29/12,shark involvement not detected,ssateague national seashore,86,4.3,66,9
8/31/12,injury to left calf,juan ponce de leon island,95,3.2,62,9
8/25/12,laceration to forearm,Masonboro island,98,2.7,69,11
8/25/12,lacerationt o forearm,tybee island,90,2,62,12
8/27/12,heel bitten,apalanchicola beach,94,0.4,64,12
8/27/12,laceration to left hand,jacksonville beach,89,0.7,69,9
8/28/12,laceration to foot by hooked shark,ponce inlet,83,1.7,70,10
